DisNo,ImpactID,LocationID,Classification_Key,Event_Name,ISO,Total_Deaths,Total_Affected,Start_Date,Total_Damage_USD,Total_Damage_Adj_USD,duration
2000-0652-USA,b9af99a2ac300885c5a06081f9fa953f,8ee69ff1754833bcf98630ce4093f67a,nat-met-sto-tro,Leslie,USA,2.0,17433.0,2000-10-04,219000.0,387513.0,0
2001-0242-USA,72ffb616368e11dc8458ca747df77431,f7878def899a9a3c017db67551b677cb,nat-met-sto-tro,Allison,USA,41.0,172000.0,2001-06-05,6000000.0,10324983.0,12
2002-0652-USA,0c0801708a595d021c0b75624ec52389,8c958f4fc8f1defd53010ec800ba755a,nat-met-sto-tro,Isidore,USA,1.0,13200.0,2002-09-26,300000.0,508189.0,1
2002-0724-USA,1843a7e746bb7099166c93d459fe106e,35d759aa2bff24f59596e635dc8563ae,nat-met-sto-tro,Lili,USA,,,2002-10-03,2000000.0,3387927.0,0
2003-0448-BMU,aa5cfe43423d2d02d84db4d4e2bf8929,fc21653bd5a35cf6590c6f0d4d9e9220,nat-met-sto-tro,Fabian,BMU,4.0,,2003-09-05,300000.0,496909.0,1
2003-0468-CAN,7bf4903f62391239f486f3b57c5f4c47,7ec368c7a3b9988000c181908afdf58f,nat-met-sto-tro,Isabel,CAN,,,2003-09-18,,,0
2003-0468-USA,57aa7fdca9d0639ee38c4f756a99c1c1,bdce2d89310579aa2fd2a064087b6923,nat-met-sto-tro,Isabel,USA,16.0,225000.0,2003-09-18,3370000.0,5581942.0,4
2003-0487-CAN,61e561e71a36bf45f43c5bfe40b9b9f5,f11351deb725f2fc25ad395b90057599,nat-met-sto-tro,Juan,CAN,2.0,200.0,2003-09-28,110000.0,182200.0,1
2003-0782-USA,a87a33eba417f9280dc89439e260a53b,7e6fe71bd59f1308a1badf54344dc8a5,nat-met-sto-tro,Bill,USA,4.0,4.0,2003-06-30,50000.0,82818.0,0
2004-0415-USA,7778c1f576a51eca021084e8ab7a89b4,7a06dcd31f813e1485cd3fb65f3aa463,nat-met-sto-tro,Charley,USA,10.0,30000.0,2004-08-13,16000000.0,25810787.0,0
2004-0448-USA,a470d847828f436a339b2937c083564d,ca9441096a24d4ac0fd8412b80561856,nat-met-sto-tro,Gaston,USA,7.0,,2004-08-29,62500.0,100823.0,1
2004-0455-USA,2764ce718cb40a21b0437b221b09cdaf,575c675cf489d3c8a9febc223c62ce08,nat-met-sto-tro,Frances,USA,47.0,5000000.0,2004-09-05,11000000.0,17744916.0,0
2004-0462-USA,5e4bfc3f61be88ef19251d27e0d76180,687d2017555d5d616383196e6e79ed91,nat-met-sto-tro,Ivan,USA,52.0,,2004-09-15,18000000.0,29037135.0,1
2004-0473-USA,cfb3095aabecd8576f30fb845fc3222f,6dab3f46a54553c8c1ba065f296ca031,nat-met-sto-tro,Jeanne,USA,6.0,40000.0,2004-09-25,8000000.0,12905394.0,1
2005-0351-USA,0a7364897d5af528b503a365740bb993,1f45482df19c9faab2a9100d4b549b39,nat-met-sto-tro, Dennis,USA,5.0,,2005-07-10,2230000.0,3479333.0,0
2005-0467-USA,2207abd0e2b40a03295078dbea23ff22,6461b0edb618d205706664c9d18e48b8,nat-met-sto-tro,Katrina,USA,1833.0,500000.0,2005-08-29,125000000.0,195029889.0,21
2005-0547-USA,cbf4f30da5a1eef0e050fe616994286f,b040fef7fbbdce8f051d6e52ec474192,nat-met-sto-tro,Rita,USA,10.0,300000.0,2005-09-23,16000000.0,24963826.0,8
2005-0585-USA,119ffe85f59c1a771908b8266be6a62b,d46a4b0183a12c7d6f349beb066a5c66,nat-met-sto-tro, Wilma,USA,4.0,30000.0,2005-10-24,14300000.0,22311419.0,0
2006-0466-USA,3448ee7afe70827f63025fb41e1a4bdd,feea5fd2b516c536eefbeecffde62c4b,nat-met-sto-tro,Ernesto,USA,6.0,140.0,2006-08-02,32860.0,49667.0,36
2007-0359-USA,a356f2ea4762a926a7262dbff645f1b5,9765de2deef41970b03d073855db0724,nat-met-sto-tro,Erin,USA,7.0,,2007-08-16,,,3
2008-0304-USA,de098fa2fc158fc21bbe61cc1ffcd1ce,a59e2dfcba82046c7f65983b6074e43f,nat-met-sto-tro, Dolly,USA,,,2008-07-23,1200000.0,1698271.0,0
2008-0338-USA,5338a235135878436375a757caec7cef,8527402ca9a4d1f83181d71f0dce3f53,nat-met-sto-tro,Fay,USA,12.0,400.0,2008-08-20,180000.0,254741.0,8
