ImpactID,LocationID,Classification_Key,DisNo,ISO,Total_Deaths,No_Injured,No_Affected,No_Homeless,Total_Affected
5cdf3bcf14b636dcea834bde8a1d89fa,fdf4015cbad28df1537d0de94c0af34f,nat-met-sto-tor,2000-0021-USA,USA,1.0,12.0,0.0,150.0,162.0
5370ecca580bd7737acae78e8d820169,018f2d7f660af07db0c732dde694aa53,nat-met-sto-tor,2000-0067-USA,USA,22.0,100.0,900.0,0.0,1000.0
aee9ba2fd62e6a9ad6c976d5503c5011,47dbeba351610a968c5871a5f626e8d5,nat-hyd-flo-riv,2000-0080-USA,USA,3.0,0.0,231.0,0.0,231.0
28e519b25fa779a2c599392458dfb094,fc536fba4231e565318243bdbc120c66,nat-met-sto-tor,2000-0175-USA,USA,5.0,0.0,3000.0,300.0,3300.0
37a607d222456968f0bf6d2a3bb2b47c,311440a7361606f1732c68908996c413,nat-hyd-flo-fla,2000-0232-USA,USA,2.0,0.0,0.0,2000.0,2000.0
56664d2838451fe35810469aa14359a7,35c1366a25368508cfee14fb2697f767,nat-hyd-flo-fla,2000-0271-USA,USA,1.0,0.0,300.0,0.0,300.0
a0c0197b167e4b78744a4acea0da2e7c,4a58e080873c738c9542d0d899f7b1ad,nat-hyd-flo-flo,2000-0297-USA,USA,2.0,0.0,300.0,0.0,300.0
eb29f08135112418d0175280ae1e9cb2,a39676f78733744184dd1e7b59af5fc3,nat-met-sto-tor,2000-0420-CAN,CAN,11.0,140.0,0.0,700.0,840.0
a6f69db763c0932834083f5b96a6c30a,0e5b6f4141435d37828e97c1e1fe79e3,nat-met-sto-tor,2000-0463-USA,USA,1.0,15.0,900.0,120.0,1035.0
156de1c3a4edcf5fd67a8f0eced9d3c5,1a59c9722f707d6bcce3d2897161c93f,nat-met-sto-tor,2000-0614-USA,USA,1.0,115.0,0.0,0.0,115.0
b9af99a2ac300885c5a06081f9fa953f,8ee69ff1754833bcf98630ce4093f67a,nat-met-sto-tro,2000-0652-USA,USA,2.0,0.0,14418.0,3015.0,17433.0
fee1fdbd02d5db12960efce4c627244b,93ad49638ca7ec2f7ff194a2327311ba,nat-met-sto-bli,2000-0838-USA,USA,57.0,34.0,0.0,0.0,34.0
89b7ae3bbdc3119005b0670e66cd779f,a1e83d7fa3190a7286debf290ce4e77d,nat-met-sto-sto,2000-0937-USA,USA,12.0,75.0,0.0,0.0,75.0
f4dd3cb711526c7cb4470fa8b1fdd2f9,99317952bfbde052f7731817e3763423,nat-met-sto-sto,2001-0052-CAN,CAN,11.0,0.0,0.0,30.0,30.0
121ee3de0fc3d8ca66fb93988bfb3fb8,f224b66f0817a9e29882a65a17e3270b,nat-geo-ear-gro,2001-0099-USA,USA,1.0,400.0,0.0,0.0,400.0
8a08208b3e8bb01fde8975a733c8e3bb,4129e64535f82c2d7427044b958c8144,nat-met-sto-tor,2001-0102-USA,USA,7.0,30.0,900.0,0.0,930.0
334ca07e3b5a4ed23f8de7b5af60d21f,26027015ef5f04b703037d851cdc6b5b,nat-met-sto-bli,2001-0106-USA,USA,11.0,100.0,0.0,0.0,100.0
e09edf3008823d00ae674a2b7989ca7c,f592852d19b8a08672ab6af64660de85,nat-met-sto-tor,2001-0145-USA,USA,4.0,18.0,765.0,30.0,813.0
72ffb616368e11dc8458ca747df77431,f7878def899a9a3c017db67551b677cb,nat-met-sto-tro,2001-0242-USA,USA,41.0,0.0,102000.0,70000.0,172000.0
1d834c835d9c01a6f04282fdf7ccc8fd,b3fe05a4aa7e5bf1aa3abc82fad42402,nat-met-sto-sto,2001-0266-USA,USA,2.0,0.0,100.0,0.0,100.0
eec338274210e6aed14e42ebb067c249,f8d83830c726cd01cf5eb6f45094af6e,nat-hyd-flo-riv,2001-0268-USA,USA,1.0,0.0,4400.0,0.0,4400.0
ebe3655caf5fd552e82497c9df70b2e4,febe9b5ca540b191dc2377137375b517,nat-met-sto-tor,2001-0270-USA,USA,1.0,32.0,1707.0,0.0,1739.0
007f2c6898cdedc5a323aebf75122289,76961cfe2c080bb356e88b8f2410377a,nat-hyd-flo-riv,2001-0460-USA,USA,2.0,0.0,10500.0,4500.0,15000.0
ab645cbf565a8210f06a5bddde3d98df,13e5b16a9a95c4d6de9c63625f3b1b03,nat-met-sto-tor,2001-0473-USA,USA,3.0,8.0,360.0,0.0,368.0
3c8442836d68e40dfb277fbc5dcc8d90,2fda735d09e21ebda7653e185e20e553,nat-met-sto-tor,2001-0566-USA,USA,2.0,50.0,0.0,1000.0,1050.0
240482092817af7a231994486853b71c,d3ba5c2881c151d919de91b31db083ed,nat-hyd-flo-riv,2001-0724-USA,USA,9.0,0.0,600.0,0.0,600.0
e25e4cb257bfda9f05616f111ae3d1e0,9c9d9f755311e2bcb8160c91758d1dd6,nat-met-sto-sto,2002-0165-USA,USA,6.0,4.0,750.0,0.0,754.0
a8993afce32619df55191529c462e0de,0b3ba8ccf130cfde28d6b3a3973c925c,nat-hyd-flo-riv,2002-0183-USA,USA,7.0,0.0,2000.0,0.0,2000.0
23786567fe464aaecdc7934cc001ca31,9dd35dc624c9958ff14d316f98e56e8c,nat-hyd-flo-riv,2002-0266-USA,USA,9.0,0.0,1000.0,0.0,1000.0
e0964363ccf47fa648664b654c1454b0,c487c3dcd39b26f2e47c88b493d45135,nat-met-sto-tor,2002-0283-USA,USA,2.0,3.0,150.0,30.0,183.0
e8df16d9d9feab6d75648d1abdb4e171,5bfef99798c32a229a0cd72306e2a1f4,nat-met-sto-tor,2002-0287-USA,USA,1.0,12.0,0.0,0.0,12.0
98f7a020dabac8d34e776c6ac50f21cc,68a3452e3143ee9da4349d67a1af781e,nat-met-sto-tor,2002-0310-USA,USA,10.0,100.0,0.0,0.0,100.0
ae72f74a3ac693a029b73d8fec716f16,e315f418914918d1881c6075e12ff7fb,nat-hyd-flo-riv,2002-0411-USA,USA,10.0,0.0,144000.0,0.0,144000.0
8fb09b06844dac8e1f94c328dedb89e6,f8975662ae91f21f5c628aa34770805b,nat-bio-epi-vir,2002-0502-USA,USA,214.0,0.0,3523.0,0.0,3523.0
0c0801708a595d021c0b75624ec52389,8c958f4fc8f1defd53010ec800ba755a,nat-met-sto-tro,2002-0652-USA,USA,1.0,0.0,13200.0,0.0,13200.0
82b3b236b1538d588100b7ea30533261,4001bb7dacb978df2c4db12221b32dc4,nat-met-sto-tor,2002-0700-USA,USA,36.0,115.0,3600.0,351.0,4066.0
a0030c42a6dcaeaed6f637d6f2c1254f,4edc8c1c3765b309c0bc596793490b86,nat-met-sto-sto,2002-0880-USA,USA,1.0,47.0,0.0,0.0,47.0
c99c84f7ab42d91883d34b0648380718,913ecac7739d105ea477266738019bcc,nat-met-sto-bli,2003-0085-USA,USA,44.0,0.0,120.0,0.0,120.0
141d9a9af260d0e79eb0520ba8aa651f,e5202bd333d156b43dcfda233cf55643,nat-met-sto-tor,2003-0139-USA,USA,6.0,200.0,0.0,186.0,386.0
bdeba8df0028a59609c6ef39f289bf3e,9950fbc75f6c33e5e7c87999a25348b5,nat-met-sto-tor,2003-0210-USA,USA,45.0,145.0,0.0,15000.0,15145.0
df3d8cc6ed041545a8814e5eb8d8c2fa,f7d35800ee354a760abedd625d31d8b4,nat-hyd-flo-riv,2003-0231-CAN,CAN,2.0,0.0,170.0,0.0,170.0
533c16c8e8ed5623b7ae9796aa9116b2,ed3d6e57c5d489aa7d7d78d48b23f138,nat-hyd-flo-riv,2003-0334-USA,USA,3.0,0.0,1200.0,0.0,1200.0
57aa7fdca9d0639ee38c4f756a99c1c1,bdce2d89310579aa2fd2a064087b6923,nat-met-sto-tro,2003-0468-USA,USA,16.0,0.0,225000.0,0.0,225000.0
61e561e71a36bf45f43c5bfe40b9b9f5,f11351deb725f2fc25ad395b90057599,nat-met-sto-tro,2003-0487-CAN,CAN,2.0,0.0,200.0,0.0,200.0
00733c044008147bae3d7cf50330a416,8b3a09e01b5e4bfc5ec612057c0b2215,nat-hyd-flo-riv,2003-0511-CAN,CAN,2.0,0.0,800.0,0.0,800.0
458c005c6b1ed49e2de74ea9755c5028,449092b59518297a89c999e58509870e,nat-cli-wil-for,2003-0518-USA,USA,14.0,104.0,27000.0,0.0,27104.0
b8e8e837477d429b13040acb8ef372eb,721193611305941fb5a3272b1cc74421,nat-met-sto-sto,2003-0595-USA,USA,8.0,0.0,1125.0,0.0,1125.0
53d0890532e662c689f78242e2bb7e14,5e864023332900b9f57b0afdebd0a00f,nat-geo-ear-gro,2003-0623-USA,USA,2.0,40.0,0.0,120.0,160.0
15e2dfc57f57a4206f95e1c003cf91d3,97e5432c4351084379960871b1964204,nat-hyd-mmw-mud,2003-0633-USA,USA,15.0,15.0,0.0,0.0,15.0
bd62bf7099a7ea1e69dc25d4f5f93354,27ff55bf52a6899926bd87ee3d976a9b,nat-met-sto-sto,2003-0741-USA,USA,4.0,18.0,100.0,0.0,118.0
6473e700110abe2e2f83c2949fbf20c1,793b06c570e0e254b32816f24d8de79b,nat-hyd-flo-riv,2003-0756-USA,USA,3.0,0.0,2000.0,0.0,2000.0
a87a33eba417f9280dc89439e260a53b,7e6fe71bd59f1308a1badf54344dc8a5,nat-met-sto-tro,2003-0782-USA,USA,4.0,4.0,0.0,0.0,4.0
972a9b86df0bcbda6390f1698aca0950,97e5432c4351084379960871b1964204,nat-cli-wil-for,2003-0786-USA,USA,4.0,40.0,0.0,0.0,40.0
6002cd78e4ac894084a8137f1e36c1f3,7988ee991c9ec08eccabb8a3ce2aeda7,nat-met-sto-sto,2003-0827-USA,USA,2.0,54.0,0.0,0.0,54.0
c7a249e72c01bcb58190a1d74dfa9323,462b56788ee916d4482596fec30159d2,nat-met-sto-tor,2004-0121-USA,USA,9.0,0.0,1404.0,345.0,1749.0
