ImpactID,DisNo,Classification_Key,Location,ISO,Start_Year,Total_Damage_USD,Total_Damage_Adj_USD
5cdf3bcf14b636dcea834bde8a1d89fa,2000-0021-USA,nat-met-sto-tor,"Crittenden, Daviess, Webster districts (Kentucky province)",USA,2000,210000.0,371587.0
5370ecca580bd7737acae78e8d820169,2000-0067-USA,nat-met-sto-tor,"Bullock, Montgomery districts (Alabama province), Colquitt, Grady, Mitchell, Thomas, Tift districts (Georgia province), Washington district (Floride province), Lonoke, Prairie, Saline districts (Arkansas province)",USA,2000,,
aee9ba2fd62e6a9ad6c976d5503c5011,2000-0080-USA,nat-hyd-flo-riv,"Kentucky, Ohio provinces",USA,2000,,
141de4c78e696b24e06af81baf193ea5,2000-0128-USA,nat-cli-wil-for,"Gainesville, Alachua areas (Alachua district, Florida province), Lafayette, Gulf districts (Florida province)",USA,2000,,
28e519b25fa779a2c599392458dfb094,2000-0175-USA,nat-met-sto-tor,"Fort Worth Texas city (Tarrant district, Texas province), Reagan, Burleson districts (Texas province)",USA,2000,450000.0,796259.0
37a607d222456968f0bf6d2a3bb2b47c,2000-0232-USA,nat-hyd-flo-fla,"Franklin, Jefferson districts (Missouri province)",USA,2000,,
56664d2838451fe35810469aa14359a7,2000-0271-USA,nat-hyd-flo-fla,Oklahoma province,USA,2000,,
a40eb3c39cb1593c5b80913b5dab151e,2000-0279-USA,nat-cli-wil-for,Sarasota district (Florida province),USA,2000,,
9ee6b3ab4918c1cde53a407907a96345,2000-0296-USA,nat-hyd-flo-flo,Liberty district (Texas province),USA,2000,,
a0c0197b167e4b78744a4acea0da2e7c,2000-0297-USA,nat-hyd-flo-flo,"Franklin, Jefferson, Gasconade districts (Missouri province)",USA,2000,100000.0,176946.0
842b74e4c99dae679b2be0190143e5f8,2000-0338-USA,nat-met-sto-tor,"Adams, Columbia, Crawford, Dane, Dodge, Grant, Green, Iowa, Juneau, La crosse, Lafayette, Monroe, Richland, Rock, Sauk, Vernon districts (Wisconsin province)",USA,2000,28500.0,50430.0
