ImpactID,Classification_Key,DisNo,ISO,Total_Deaths,No_Injured,No_Affected,No_Homeless,Total_Affected,Location
5cdf3bcf14b636dcea834bde8a1d89fa,nat-met-sto-tor,2000-0021-USA,USA,1.0,12.0,0.0,150.0,162.0,"Crittenden, Daviess, Webster districts (Kentucky province)"
5370ecca580bd7737acae78e8d820169,nat-met-sto-tor,2000-0067-USA,USA,22.0,100.0,900.0,0.0,1000.0,"Bullock, Montgomery districts (Alabama province), Colquitt, Grady, Mitchell, Thomas, Tift districts (Georgia province), Washington district (Floride province), Lonoke, Prairie, Saline districts (Arkansas province)"
aee9ba2fd62e6a9ad6c976d5503c5011,nat-hyd-flo-riv,2000-0080-USA,USA,3.0,0.0,231.0,0.0,231.0,"Kentucky, Ohio provinces"
28e519b25fa779a2c599392458dfb094,nat-met-sto-tor,2000-0175-USA,USA,5.0,0.0,3000.0,300.0,3300.0,"Fort Worth Texas city (Tarrant district, Texas province), Reagan, Burleson districts (Texas province)"
37a607d222456968f0bf6d2a3bb2b47c,nat-hyd-flo-fla,2000-0232-USA,USA,2.0,0.0,0.0,2000.0,2000.0,"Franklin, Jefferson districts (Missouri province)"
56664d2838451fe35810469aa14359a7,nat-hyd-flo-fla,2000-0271-USA,USA,1.0,0.0,300.0,0.0,300.0,Oklahoma province
a0c0197b167e4b78744a4acea0da2e7c,nat-hyd-flo-flo,2000-0297-USA,USA,2.0,0.0,300.0,0.0,300.0,"Franklin, Jefferson, Gasconade districts (Missouri province)"
eb29f08135112418d0175280ae1e9cb2,nat-met-sto-tor,2000-0420-CAN,CAN,11.0,140.0,0.0,700.0,840.0,"Pine Lake area (Division No. 8 district, Alberta province)"
a6f69db763c0932834083f5b96a6c30a,nat-met-sto-tor,2000-0463-USA,USA,1.0,15.0,900.0,120.0,1035.0,"Granite Falls city (Yellow Medicine, Minnesota province)"
156de1c3a4edcf5fd67a8f0eced9d3c5,nat-met-sto-tor,2000-0614-USA,USA,1.0,115.0,0.0,0.0,115.0,"Xenia city (Greene district, Ohio province)"
b9af99a2ac300885c5a06081f9fa953f,nat-met-sto-tro,2000-0652-USA,USA,2.0,0.0,14418.0,3015.0,17433.0,"Miami-Dade, Monroe, Broward, Collier districts (Florida province)"
fee1fdbd02d5db12960efce4c627244b,nat-met-sto-bli,2000-0838-USA,USA,57.0,34.0,0.0,0.0,34.0,"Texas, Oklahoma, New Mexico, Arkansas, Missouri, Minnesota provinces"
89b7ae3bbdc3119005b0670e66cd779f,nat-met-sto-sto,2000-0937-USA,USA,12.0,75.0,0.0,0.0,75.0,"Tuscaloosa district (Alabama province), Connecticut, Florida, Georgia, Massachusetts, Mississippi, Norh Carolina, New Jersey, New York, Pennsylvania, Rhode Island provinces"
f4dd3cb711526c7cb4470fa8b1fdd2f9,nat-met-sto-sto,2001-0052-CAN,CAN,11.0,0.0,0.0,30.0,30.0,Quebec province
121ee3de0fc3d8ca66fb93988bfb3fb8,nat-geo-ear-gro,2001-0099-USA,USA,1.0,400.0,0.0,0.0,400.0,"Seattle city (King district), Tacoma city (Pierce district), Olympia city (Thurston district) (Washington province)"
8a08208b3e8bb01fde8975a733c8e3bb,nat-met-sto-tor,2001-0102-USA,USA,7.0,30.0,900.0,0.0,930.0,"Calhoun, Lee, Pontotoc, Prentiss, Union districts (Mississippi province)"
334ca07e3b5a4ed23f8de7b5af60d21f,nat-met-sto-bli,2001-0106-USA,USA,11.0,100.0,0.0,0.0,100.0,"Virginia, New Jersey, Pennsylvania, North Carolina, West Virginia, Maryland provinces"
e09edf3008823d00ae674a2b7989ca7c,nat-met-sto-tor,2001-0145-USA,USA,4.0,18.0,765.0,30.0,813.0,"Kearny, Trego, Ellis, Rooks, Ford, Osborne, Smith, Jewell, Edwards, Republic, Washington districts (Kansas province), Union city (Franklin district, Missouri province), Johnson, Pettis, Cooper, Callaway, St Charles, Gentry, Worth, Clark, Madison districts (Missouri), Beaver, Pontotoc, Coal, Johnston, Atoka, Haskell, Pottawatomie districts (Oklahoma province), Wichita, Cooke, Carson, Hutchinson, Hansford, Wheeler districts (Texas province), Thayer, Gage, Sarpy, Webster, Nuckolls districts (Nebraska province), Mills, Pottawattamie, Guthrie, Boone, Hamilton, Wapello, Johnson, Black Hawk, Benton, Fayette, Webster, Ringgold districts (Iowa province), Madison district (Illinois province)"
72ffb616368e11dc8458ca747df77431,nat-met-sto-tro,2001-0242-USA,USA,41.0,0.0,102000.0,70000.0,172000.0,"Texas, Mississippi, Louisiana, Florida, Pennsylvania, South Carolina, North Carolina, Georgia, Pensylvania, New Jersey, Virginia, Iowa provinces"
1d834c835d9c01a6f04282fdf7ccc8fd,nat-met-sto-sto,2001-0266-USA,USA,2.0,0.0,100.0,0.0,100.0,"New Hampshire, Vermont, Maine, Massachusetts, Rhode Island provinces"
eec338274210e6aed14e42ebb067c249,nat-hyd-flo-riv,2001-0268-USA,USA,1.0,0.0,4400.0,0.0,4400.0,"Minnesota, Iowa, Wisconsin, Illinois provinces"
ebe3655caf5fd552e82497c9df70b2e4,nat-met-sto-tor,2001-0270-USA,USA,1.0,32.0,1707.0,0.0,1739.0,"Hoisington city (Barton district, Kansas province)"
007f2c6898cdedc5a323aebf75122289,nat-hyd-flo-riv,2001-0460-USA,USA,2.0,0.0,10500.0,4500.0,15000.0,Virginia province
ab645cbf565a8210f06a5bddde3d98df,nat-met-sto-tor,2001-0473-USA,USA,3.0,8.0,360.0,0.0,368.0,"Siren city (Burnett district, Wisconsin province)"
3c8442836d68e40dfb277fbc5dcc8d90,nat-met-sto-tor,2001-0566-USA,USA,2.0,50.0,0.0,1000.0,1050.0,"Howard, Prince George's districts (Maryland province)"
240482092817af7a231994486853b71c,nat-hyd-flo-riv,2001-0724-USA,USA,9.0,0.0,600.0,0.0,600.0,Texas province
e25e4cb257bfda9f05616f111ae3d1e0,nat-met-sto-sto,2002-0165-USA,USA,6.0,4.0,750.0,0.0,754.0,"Sevier, Blount, Knox, Hawkins districts (Tennessee province), Cumberland, Bell districts (Kentucky province), Wise, Smyth, Washington districts (Virginia province), Cabell district (West Virginia province), North Carolina, Mississippi, Arkansas, Texas provinces"
a8993afce32619df55191529c462e0de,nat-hyd-flo-riv,2002-0183-USA,USA,7.0,0.0,2000.0,0.0,2000.0,"Tennessee, Virginia, Kentucky, Ohio, Arkansas, Oklahoma, Texas provinces"
23786567fe464aaecdc7934cc001ca31,nat-hyd-flo-riv,2002-0266-USA,USA,9.0,0.0,1000.0,0.0,1000.0,"Pike district (Kentucky province), Virginia province"
e0964363ccf47fa648664b654c1454b0,nat-met-sto-tor,2002-0283-USA,USA,2.0,3.0,150.0,30.0,183.0,"Happy town (Randall, Swisher districts, Texas province)"
e8df16d9d9feab6d75648d1abdb4e171,nat-met-sto-tor,2002-0287-USA,USA,1.0,12.0,0.0,0.0,12.0,"Wayne, Jefferson districts (Illinois province)"
98f7a020dabac8d34e776c6ac50f21cc,nat-met-sto-tor,2002-0310-USA,USA,10.0,100.0,0.0,0.0,100.0,"Breckinridge, Meade, Crittenden, Webster, Hopkins, Ohio, Hardin, Edmonson districts (Kentucky province), Bollinger, Howell districts (Missouri province), Charles, Calvert, Dorchester, Wicomico, Cecil districts (Maryland province), Illinois (Clay,Union, Johnson,Pope, Moultrie, Saline, Bond), Gordon district (Georgia province), Atchison district (Kansas province), Erie, Allegany districts (New York province), Stark district (Ohio province), Indiana, Mercer, Venango, Butler, Armstrong, Columbia, Lebanon, Allegheny districts (Pennsylvania province), Rutherford, Lake, Henry, Carter districts (Tennessee province), Virginia (Shenandoah, Greensville, Bedford, (Campbell, Nottoway, Prince George), Marshall district (West Virginia province), Pontotoc, Chickasaw districts (Mississippi province), Perry district (Indiana province)"
ae72f74a3ac693a029b73d8fec716f16,nat-hyd-flo-riv,2002-0411-USA,USA,10.0,0.0,144000.0,0.0,144000.0,"Comal, Guadalupe, Bandera, Uvalde, McMullen, Taylor districts (Texas province)"
8fb09b06844dac8e1f94c328dedb89e6,nat-bio-epi-vir,2002-0502-USA,USA,214.0,0.0,3523.0,0.0,3523.0,"Alabama, district of Columbia, Illinois, Indiana, Louisiana, Mississippi, Texas, Florida, Massachusetts, Missouri, New York City, Ohio, Georgia, Kentucky, Maryland, Michigan, Nebraska, South Dacota, Tennessee, Texas, Virginia, Wisconsin"
0c0801708a595d021c0b75624ec52389,nat-met-sto-tro,2002-0652-USA,USA,1.0,0.0,13200.0,0.0,13200.0,"Louisiane, Mississippi, Alabama, Tennessee provinces"
