DisNo,ImpactID,Historic,Classification_Key,OFDA_BHA_Response,Appeal,Declaration,Origin,Associated_Types,Magnitude,Magnitude_Scale,Start_Date,End_Date,duration,Location
2000-0021-USA,5cdf3bcf14b636dcea834bde8a1d89fa,No,nat-met-sto-tor,No,No,No,,,,Kph,2000-01-02,2000-01-04,2,"Crittenden, Daviess, Webster districts (Kentucky province)"
2000-0067-USA,5370ecca580bd7737acae78e8d820169,No,nat-met-sto-tor,No,No,No,,,249.0,Kph,2000-02-13,2000-02-14,1,"Bullock, Montgomery districts (Alabama province), Colquitt, Grady, Mitchell, Thomas, Tift districts (Georgia province), Washington district (Floride province), Lonoke, Prairie, Saline districts (Arkansas province)"
2000-0080-USA,aee9ba2fd62e6a9ad6c976d5503c5011,No,nat-hyd-flo-riv,No,No,No,Heavy rain,"Slide (land, mud, snow, rock)",55000.0,Km2,2000-02-18,2000-02-22,4,"Kentucky, Ohio provinces"
2000-0128-USA,141de4c78e696b24e06af81baf193ea5,No,nat-cli-wil-for,No,No,No,,,113.0,Km2,2000-02-26,2000-02-26,0,"Gainesville, Alachua areas (Alachua district, Florida province), Lafayette, Gulf districts (Florida province)"
2000-0175-USA,28e519b25fa779a2c599392458dfb094,No,nat-met-sto-tor,No,No,No,,,,Kph,2000-03-28,2000-03-28,0,"Fort Worth Texas city (Tarrant district, Texas province), Reagan, Burleson districts (Texas province)"
2000-0232-USA,37a607d222456968f0bf6d2a3bb2b47c,No,nat-hyd-flo-fla,No,No,No,Brief torrential rain,,,Km2,2000-05-06,2000-05-09,3,"Franklin, Jefferson districts (Missouri province)"
2000-0271-USA,56664d2838451fe35810469aa14359a7,No,nat-hyd-flo-fla,No,No,No,Brief torrential rain,,,Km2,2000-05-06,2000-05-09,3,Oklahoma province
2000-0279-USA,a40eb3c39cb1593c5b80913b5dab151e,No,nat-cli-wil-for,No,No,No,,,16.0,Km2,2000-05-14,2000-05-14,0,Sarasota district (Florida province)
2000-0296-USA,9ee6b3ab4918c1cde53a407907a96345,No,nat-hyd-flo-flo,No,No,No,,,,Km2,2000-05-19,2000-05-19,0,Liberty district (Texas province)
2000-0297-USA,a0c0197b167e4b78744a4acea0da2e7c,No,nat-hyd-flo-flo,No,No,No,,,,Km2,2000-05-23,2000-05-23,0,"Franklin, Jefferson, Gasconade districts (Missouri province)"
2000-0338-USA,842b74e4c99dae679b2be0190143e5f8,No,nat-met-sto-tor,No,No,No,,,,Kph,2000-05-26,2000-05-26,0,"Adams, Columbia, Crawford, Dane, Dodge, Grant, Green, Iowa, Juneau, La crosse, Lafayette, Monroe, Richland, Rock, Sauk, Vernon districts (Wisconsin province)"
2000-0360-USA,f0b66b60095d2de3ff2e42767f770397,No,nat-met-sto-sev,No,No,No,,,,Kph,2000-05-23,2000-05-23,0,"Anderson, Benton, Cheatham, Davidson, Henry, Hickman, Houston, Jackson, Knox, Lake, Obion, Perry, Pickett, Stewart districts (Tennessee province)"
2000-0363-USA,4457e9cebfe65c450ebb1bdc823ddf23,No,nat-cli-wil-for,No,No,No,,,85.0,Km2,2000-06-12,2000-06-12,0,"Park, Jefferson, Larimer districts (Colorado province)"
2000-0406-USA,ba414776194a5594cbfe0dfc31a24d19,No,nat-cli-wil-for,No,No,No,,,607.0,Km2,2000-06-27,2000-06-27,0,"Hanford area (Benton district, Washington province)"
2000-0420-CAN,eb29f08135112418d0175280ae1e9cb2,No,nat-met-sto-tor,No,No,No,,,300.0,Kph,2000-07-14,2000-07-14,0,"Pine Lake area (Division No. 8 district, Alberta province)"
2000-0463-USA,a6f69db763c0932834083f5b96a6c30a,No,nat-met-sto-tor,No,No,No,,,,Kph,2000-07-25,2000-07-25,0,"Granite Falls city (Yellow Medicine, Minnesota province)"
2000-0500-USA,2f0c9e34a82dba179c7670756ce274a1,No,nat-hyd-flo-riv,No,No,No,Heavy rain,"Slide (land, mud, snow, rock)",,Km2,2000-08-12,2000-08-14,2,"Morris, Sussex districts (New Jersey province)"
2000-0502-USA,a03fe066ee39153f16e3eabc6feefbea,No,nat-hyd-flo-flo,No,No,No,,,,Km2,2000-07-30,2000-07-30,0,Pennsylvania province
2000-0598-USA,23f2d7e66b695bb64efbc5deb44261ea,No,nat-geo-ear-gro,No,No,No,,,4.9,Moment Magnitude,2000-09-03,2000-09-03,0,"Near Yountville city (Napa district, California province)"
2000-0614-USA,156de1c3a4edcf5fd67a8f0eced9d3c5,No,nat-met-sto-tor,No,No,No,,,,Kph,2000-09-20,2000-09-20,0,"Xenia city (Greene district, Ohio province)"
2000-0652-USA,b9af99a2ac300885c5a06081f9fa953f,No,nat-met-sto-tro,No,No,No,,,,Kph,2000-10-04,2000-10-04,0,"Miami-Dade, Monroe, Broward, Collier districts (Florida province)"
2000-0756-USA,e4cb4a17286ed6ca4962f087e0c50ec5,No,nat-met-sto-bli,No,No,No,,,,Kph,2000-11-20,2000-11-20,0,"Buffalo city (Erie district, New York province)"
