ImpactID,LocationID,Classification_Key,ISO,Total_Deaths,No_Injured,No_Affected,No_Homeless,Total_Affected
5cdf3bcf14b636dcea834bde8a1d89fa,fdf4015cbad28df1537d0de94c0af34f,nat-met-sto-tor,USA,1.0,12.0,,150.0,162.0
5370ecca580bd7737acae78e8d820169,018f2d7f660af07db0c732dde694aa53,nat-met-sto-tor,USA,22.0,100.0,900.0,,1000.0
aee9ba2fd62e6a9ad6c976d5503c5011,47dbeba351610a968c5871a5f626e8d5,nat-hyd-flo-riv,USA,3.0,,231.0,,231.0
141de4c78e696b24e06af81baf193ea5,4905b64fba2b30cbd9797a8104c92eeb,nat-cli-wil-for,USA,,,600.0,,600.0
28e519b25fa779a2c599392458dfb094,fc536fba4231e565318243bdbc120c66,nat-met-sto-tor,USA,5.0,,3000.0,300.0,3300.0
37a607d222456968f0bf6d2a3bb2b47c,311440a7361606f1732c68908996c413,nat-hyd-flo-fla,USA,2.0,,,2000.0,2000.0
56664d2838451fe35810469aa14359a7,35c1366a25368508cfee14fb2697f767,nat-hyd-flo-fla,USA,1.0,,300.0,,300.0
a40eb3c39cb1593c5b80913b5dab151e,0c53016aaa346dd9d4f180178220c941,nat-cli-wil-for,USA,,,,,
9ee6b3ab4918c1cde53a407907a96345,b78ab8ae51b4acec216a0d6b92f01e11,nat-hyd-flo-flo,USA,,,240.0,,240.0
a0c0197b167e4b78744a4acea0da2e7c,4a58e080873c738c9542d0d899f7b1ad,nat-hyd-flo-flo,USA,2.0,,300.0,,300.0
842b74e4c99dae679b2be0190143e5f8,6451dc2bd79495ab50b7eac5ec7b2be9,nat-met-sto-tor,USA,,,,,
f0b66b60095d2de3ff2e42767f770397,ec803141f23749673e5788cf75da5665,nat-met-sto-sev,USA,,,,,
4457e9cebfe65c450ebb1bdc823ddf23,44de30f55908627219a4cf4082832868,nat-cli-wil-for,USA,,,800.0,210.0,1010.0
ba414776194a5594cbfe0dfc31a24d19,9443e224a91989ae1e26241b206e9882,nat-cli-wil-for,USA,,2.0,8000.0,75.0,8077.0
eb29f08135112418d0175280ae1e9cb2,a39676f78733744184dd1e7b59af5fc3,nat-met-sto-tor,CAN,11.0,140.0,,700.0,840.0
a6f69db763c0932834083f5b96a6c30a,0e5b6f4141435d37828e97c1e1fe79e3,nat-met-sto-tor,USA,1.0,15.0,900.0,120.0,1035.0
2f0c9e34a82dba179c7670756ce274a1,329cbfe8ff120179f3f72ba6e4c954a9,nat-hyd-flo-riv,USA,,,175.0,,175.0
a03fe066ee39153f16e3eabc6feefbea,960c93cd048d8b522e62140eb4aec4f5,nat-hyd-flo-flo,USA,,,300.0,,300.0
23f2d7e66b695bb64efbc5deb44261ea,b19b4b3384707cd59a68792f0271be06,nat-geo-ear-gro,USA,,70.0,25000.0,104.0,25174.0
156de1c3a4edcf5fd67a8f0eced9d3c5,1a59c9722f707d6bcce3d2897161c93f,nat-met-sto-tor,USA,1.0,115.0,,,115.0
b9af99a2ac300885c5a06081f9fa953f,8ee69ff1754833bcf98630ce4093f67a,nat-met-sto-tro,USA,2.0,,14418.0,3015.0,17433.0
e4cb4a17286ed6ca4962f087e0c50ec5,d66cf9da3e2ed2ab355b4590caa1904c,nat-met-sto-bli,USA,,,,,
fee1fdbd02d5db12960efce4c627244b,93ad49638ca7ec2f7ff194a2327311ba,nat-met-sto-bli,USA,57.0,34.0,,,34.0
7772db3054359660cbc0fcfa032d1434,bd826773f78a312face2252d8c15730c,nat-hyd-flo-riv,USA,,,100.0,,100.0
06d8b2e60dc17538492e26853f317e0d,17f0fd70d22110f097db8f88da8e9a13,nat-met-sto-sto,USA,4.0,,,,
89b7ae3bbdc3119005b0670e66cd779f,a1e83d7fa3190a7286debf290ce4e77d,nat-met-sto-sto,USA,12.0,75.0,,,75.0
f4dd3cb711526c7cb4470fa8b1fdd2f9,99317952bfbde052f7731817e3763423,nat-met-sto-sto,CAN,11.0,,,30.0,30.0
121ee3de0fc3d8ca66fb93988bfb3fb8,f224b66f0817a9e29882a65a17e3270b,nat-geo-ear-gro,USA,1.0,400.0,,,400.0
8a08208b3e8bb01fde8975a733c8e3bb,4129e64535f82c2d7427044b958c8144,nat-met-sto-tor,USA,7.0,30.0,900.0,,930.0
334ca07e3b5a4ed23f8de7b5af60d21f,26027015ef5f04b703037d851cdc6b5b,nat-met-sto-bli,USA,11.0,100.0,,,100.0
e09edf3008823d00ae674a2b7989ca7c,f592852d19b8a08672ab6af64660de85,nat-met-sto-tor,USA,4.0,18.0,765.0,30.0,813.0
4b82b467ccc0cd858d42931e57eeeb0c,f95f9e974eed9b98aaa0ceb43450575a,nat-met-sto-tor,USA,,,492.0,,492.0
72ffb616368e11dc8458ca747df77431,f7878def899a9a3c017db67551b677cb,nat-met-sto-tro,USA,41.0,,102000.0,70000.0,172000.0
1be48f8fe68f50d1e2a19f45c282efbf,e67074f1d937b9b03eda1621ccba83cc,nat-hyd-flo-riv,USA,,,200.0,,200.0
1d834c835d9c01a6f04282fdf7ccc8fd,b3fe05a4aa7e5bf1aa3abc82fad42402,nat-met-sto-sto,USA,2.0,,100.0,,100.0
eec338274210e6aed14e42ebb067c249,f8d83830c726cd01cf5eb6f45094af6e,nat-hyd-flo-riv,USA,1.0,,4400.0,,4400.0
ebe3655caf5fd552e82497c9df70b2e4,febe9b5ca540b191dc2377137375b517,nat-met-sto-tor,USA,1.0,32.0,1707.0,,1739.0
1fffb45b57cc327b48059b9c73b4b2a5,e214a0f963ce02deda0b615315072884,nat-cli-wil-for,CAN,,,1200.0,,1200.0
