DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,Origin,Associated Types,Magnitude,Magnitude Scale,Start Date,End Date
2000-0021-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2000-01-02,2000-01-04
2000-0067-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,249.0,Kph,2000-02-13,2000-02-14
2000-0080-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rain,"Slide (land, mud, snow, rock)",55000.0,Km2,2000-02-18,2000-02-22
2000-0128-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,113.0,Km2,2000-02-26,2000-02-26
2000-0175-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2000-03-28,2000-03-28
2000-0232-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,Brief torrential rain,,,Km2,2000-05-06,2000-05-09
2000-0240-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,194.0,Km2,,
2000-0271-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,Brief torrential rain,,,Km2,2000-05-06,2000-05-09
2000-0279-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,16.0,Km2,2000-05-14,2000-05-14
2000-0296-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,,,,Km2,2000-05-19,2000-05-19
2000-0297-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,,,,Km2,2000-05-23,2000-05-23
2000-0338-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2000-05-26,2000-05-26
2000-0360-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,,,Kph,2000-05-23,2000-05-23
2000-0363-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,85.0,Km2,2000-06-12,2000-06-12
2000-0406-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,607.0,Km2,2000-06-27,2000-06-27
2000-0420-CAN,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,300.0,Kph,2000-07-14,2000-07-14
2000-0433-USA,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,,,38.0,°C,,
2000-0450-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,2363.0,Km2,,
2000-0463-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2000-07-25,2000-07-25
2000-0465-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,680000.0,Km2,,
2000-0500-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rain,"Slide (land, mud, snow, rock)",,Km2,2000-08-12,2000-08-14
2000-0502-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,,,,Km2,2000-07-30,2000-07-30
2000-0598-USA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009zmm,,,,4.9,Moment Magnitude,2000-09-03,2000-09-03
2000-0614-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2000-09-20,2000-09-20
2000-0652-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Leslie,,,,Kph,2000-10-04,2000-10-04
2000-0756-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2000-11-20,2000-11-20
2000-0838-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Transport accident,,Kph,2000-12-24,2000-12-24
2000-0865-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,,86.0,Km2,2000-11-02,2000-11-02
2000-0919-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Cold wave,,Kph,2000-01-22,2000-01-25
2000-0937-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,,,Kph,2000-12-16,2000-12-17
2000-9339-USA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,,,,Km2,,
2000-9712-USA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,,Wildfire,,Km2,,
2001-0052-CAN,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,,120.0,Kph,2001-02-10,2001-02-10
2001-0099-USA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:uw10530748,,,,6.8,Moment Magnitude,2001-02-28,2001-02-28
2001-0102-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2001-02-24,2001-02-24
2001-0106-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Transport accident,,Kph,2001-02-22,2001-02-22
2001-0145-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Hail,,Kph,2001-04-10,2001-04-11
2001-0194-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2001-03-29,2001-03-29
2001-0203-CAN,No,nat-bio-epi-par,Natural,Biological,Epidemic,Parasitic disease,,Cryptosporidiosis,,,,Vaccinated,,
2001-0242-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Allison,,Flood,,Kph,2001-06-05,2001-06-17
2001-0262-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Ice jam/break,,24.0,Km2,2001-02-27,2001-03-01
2001-0266-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Flood|Snow/ice,,Kph,2001-03-20,2001-03-20
2001-0268-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Snowmelt,,63380.0,Km2,2001-04-15,2001-05-15
2001-0270-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2001-04-21,2001-04-21
2001-0303-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,1030.0,Km2,,
2001-0340-CAN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,,Km2,2001-05-28,2001-05-28
2001-0351-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2001-06-14,2001-06-14
2001-0451-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,797.0,Km2,,
2001-0460-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rain,"Slide (land, mud, snow, rock)",8530.0,Km2,2001-07-08,2001-07-09
2001-0473-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2001-06-18,2001-06-18
2001-0474-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2001-06-13,2001-06-13
2001-0477-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Hail,,Kph,2001-06-21,2001-06-21
2001-0564-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2001-10-10,2001-10-10
2001-0566-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2001-09-24,2001-09-24
2001-0601-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2001-10-11,2001-10-11
2001-0602-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2001-10-12,2001-10-12
2001-0722-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,283.0,Km2,2001-10-30,2001-10-30
2001-0724-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rain,,7730.0,Km2,2001-11-15,2001-11-19
2001-0770-USA,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,,,,°C,,
2001-0771-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,,,Kph,,
2001-0772-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,,,,Km2,,
2001-0773-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2001-08-17,2001-08-17
2002-0017-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Transport accident,114.0,Kph,,
2002-0092-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,23.0,Km2,2002-02-10,2002-02-10
2002-0119-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,,,Kph,2002-01-30,2002-02-08
2002-0128-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Transport accident,,Kph,,
2002-0165-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,"Flood|Slide (land, mud, snow, rock)",,Kph,2002-03-19,2002-03-19
2002-0183-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rain,,35390.0,Km2,2002-03-17,2002-03-24
2002-0184-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,149.0,Km2,,
2002-0266-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rain,,,Km2,2002-05-02,2002-05-08
2002-0283-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2002-05-05,2002-05-05
2002-0287-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2002-04-21,2002-04-21
2002-0310-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,290.0,Kph,2002-04-27,2002-05-03
2002-0312-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,,,145.0,Km2,,
2002-0331-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,414.0,Km2,,
2002-0351-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,770.0,Km2,2002-06-08,2002-06-08
2002-0355-USA,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,,,,°C,,
2002-0379-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,1320.0,Km2,2002-06-20,2002-06-20
2002-0404-CAN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rain,,5530.0,Km2,2002-06-09,2002-06-12
2002-0409-CAN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,2670.0,Km2,,
2002-0411-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rain,,108300.0,Km2,2002-06-30,2002-07-23
2002-0502-USA,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,West Nile Fever,,,,Vaccinated,2002-07-09,2002-11-26
2002-0569-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2002-09-05,2002-09-05
2002-0600-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rain,,5460.0,Km2,2002-09-21,2002-09-24
2002-0618-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,93.0,Km2,2002-09-22,2002-09-22
2002-0625-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,2023.0,Km2,,
2002-0652-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Isidore,,,105.0,Kph,2002-09-26,2002-09-27
2002-0667-USA,No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,,,,Vaccinated,2002-10-16,2002-10-16
2002-0687-CAN,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,West Nile Fever,,,,Vaccinated,,2002-10-12
2002-0700-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,200.0,Kph,2002-11-05,2002-11-10
2002-0724-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Lili,,Flood,,Kph,2002-10-03,2002-10-03
2002-0751-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2002-12-04,2002-12-05
2002-0793-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,,,Kph,2002-12-19,2002-12-19
2002-0802-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2002-12-23,2002-12-23
2002-0880-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,,,Kph,2002-05-30,2002-06-01
2002-9853-USA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,,,,Km2,,
2003-0085-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2003-02-14,2003-02-18
2003-0087-CAN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Ice jams,,1000.0,Km2,2003-02-15,2003-02-21
2003-0139-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Flood|Hail,,Kph,2003-03-18,2003-03-20
2003-0147-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Transport accident,,Kph,2003-03-20,2003-03-20
2003-0210-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2003-05-04,2003-05-10
2003-0231-CAN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,"Heavy rains, snow melt",,13530.0,Km2,2003-03-31,2003-04-03
2003-0299-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,16.0,Km2,2003-06-17,2003-06-20
2003-0334-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,Rain,150500.0,Km2,2003-07-05,2003-07-21
2003-0369-CAN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,2500.0,Km2,2003-08-01,2003-09-14
2003-0413-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2003-08-08,2003-08-08
2003-0417-CAN,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,Brief torrential rain,,1990.0,Km2,2003-08-04,2003-08-05
2003-0448-BMU,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Fabian,,Rain,240.0,Kph,2003-09-05,2003-09-06
2003-0468-CAN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Isabel,,,,Kph,2003-09-18,2003-09-18
2003-0468-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Isabel,,Flood,170.0,Kph,2003-09-18,2003-09-22
2003-0487-CAN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Juan,,Flood,143.0,Kph,2003-09-28,2003-09-29
2003-0511-CAN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,,,Km2,2003-10-17,2003-10-26
2003-0511-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,,,Km2,2003-10-17,2003-10-26
2003-0518-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,1133.0,Km2,2003-10-25,2003-11-04
2003-0595-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,"Flood|Slide (land, mud, snow, rock)",,Kph,2003-11-20,2003-11-20
2003-0618-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Transport accident,,Kph,2003-12-06,2003-12-07
2003-0623-USA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,,,6.5,Moment Magnitude,2003-12-22,2003-12-22
2003-0633-USA,No,nat-hyd-mmw-mud,Natural,Hydrological,Mass movement (wet),Mudslide,,,Heavy rains,,,,2003-12-25,2003-12-26
2003-0663-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,Brief torrential rain,,250.0,Km2,2003-11-12,2003-11-13
2003-0741-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,Rain and snow,Flood,,Kph,2003-02-15,2003-02-23
2003-0756-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,,272100.0,Km2,2003-05-06,2003-05-14
2003-0780-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2003-05-30,2003-05-30
2003-0782-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Bill,,Flood,95.0,Kph,2003-06-30,2003-06-30
2003-0786-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,607.0,Km2,2003-10-21,2003-11-04
2003-0827-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,,,Kph,2003-12-15,2003-12-16
2003-0829-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Hail|Snow/ice,,Kph,2003-04-04,2003-04-08
2003-0830-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Transport accident,,Kph,2003-02-26,2003-02-26
2004-0031-CAN,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Cold wave,,Kph,,
2004-0031-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Cold wave|Transport accident,,Kph,2004-01-15,2004-01-29
2004-0074-CAN,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,120.0,Kph,2004-02-19,2004-02-19
2004-0121-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Flood|Transport accident,,Kph,2004-03-04,2004-03-07
2004-0146-CAN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Rain and snowmelt,,,Km2,2004-03-28,2004-04-11
2004-0146-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,"Melting sow, heavy rain",,,Km2,2004-03-28,2004-04-11
2004-0196-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,Heat wave,66.0,Km2,2004-05-02,2004-05-04
2004-0245-USA,No,nat-met-sto-hai,Natural,Meteorological,Storm,Hail,,,,Flood|Hail,,Kph,2004-05-21,2004-05-27
2004-0248-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,,,,Km2,2004-05-28,2004-05-28
2004-0249-USA,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,,Flood|Hail,,Kph,2004-05-29,2004-06-02
2004-0338-USA,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,,Flood,,Kph,2004-06-28,2004-06-28
2004-0346-CAN,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,,Rain,,Km2,2004-07-13,2004-07-16
2004-0348-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,Heat wave|Storm,68.0,Km2,2004-07-12,2004-07-16
2004-0415-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Charley,,Transport accident,230.0,Kph,2004-08-13,2004-08-13
2004-0446-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,4046.0,Km2,2004-08-13,2004-08-14
2004-0448-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Gaston,,Flood,,Kph,2004-08-29,2004-08-30
2004-0455-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Frances,,Rain,,Kph,2004-09-05,2004-09-05
2004-0462-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Ivan,,"Flood|Slide (land, mud, snow, rock)",,Kph,2004-09-15,2004-09-16
2004-0473-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Jeanne,,,,Kph,2004-09-25,2004-09-26
2004-0502-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2004-09-08,2004-09-08
2004-0572-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,,,Km2,2004-10-30,2004-10-30
2004-0675-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,,,,Km2,2004-07-12,2004-07-14
2004-0731-USA,No,nat-met-sto-hai,Natural,Meteorological,Storm,Hail,,,,Hail,,Kph,2004-03-20,2004-03-21
2004-0740-USA,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,,,,°C,2004-01-09,2004-01-12
2005-0015-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,"Heavy rain, heavy snow","Slide (land, mud, snow, rock)",560.0,Km2,2005-01-07,2005-01-11
2005-0029-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Cold wave,,Kph,2005-01-22,2005-01-24
2005-0103-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,"Rain|Slide (land, mud, snow, rock)",,Km2,2005-02-17,2005-02-23
2005-0203-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,"Heavy rains, snowmelt",,130500.0,Km2,2005-04-01,2005-04-06
2005-0219-USA,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,,Flood,,Kph,2005-04-06,2005-04-08
2005-0286-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,,Rain,,Km2,2005-05-06,2005-05-08
2005-0351-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,"Hurricane ""Dennis""",,,,Kph,2005-07-10,2005-07-10
2005-0383-CAN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,4000.0,Km2,,
2005-0460-CAN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,Dry wetaher and heat wave,,275.0,Km2,,
2005-0467-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Katrina,,Broken Dam/Burst bank|Flood,280.0,Kph,2005-08-29,2005-09-19
2005-0530-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2005-08-18,2005-08-18
2005-0547-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Rita,,Flood,280.0,Kph,2005-09-23,2005-10-01
2005-0553-CAN,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,,,Kph,2005-09-26,2005-09-29
2005-0583-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rain,Rain,38290.0,Km2,2005-10-08,2005-10-16
2005-0585-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,"Hurricane ""Wilma""",,Flood|Rain,165.0,Kph,2005-10-24,2005-10-24
2005-0591-CAN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,,330.0,Km2,2005-09-27,2005-09-29
2005-0682-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2005-12-08,2005-12-09
2005-0687-USA,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,,,47.0,°C,2005-07-04,2005-07-30
2005-0716-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Storm,"Rain|Slide (land, mud, snow, rock)",140500.0,Km2,2005-12-31,2006-01-18
2005-0724-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,,Km2,2005-12-27,2006-01-04
2005-0728-CAN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,,86680.0,Km2,2005-06-07,2005-07-01
2006-0128-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Flood,202.0,Kph,2006-03-11,2006-03-13
2006-0161-USA,No,nat-met-sto-hai,Natural,Meteorological,Storm,Hail,,,,Hail,,Kph,2006-04-02,2006-04-03
2006-0171-USA,No,nat-met-sto-hai,Natural,Meteorological,Storm,Hail,,,,Hail,,Kph,2006-04-06,2006-04-08
2006-0180-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,"Broken Dam/Burst bank|Slide (land, mud, snow, rock)",44110.0,Km2,2006-04-04,2006-04-17
