DisNo,ImpactID,Historic,Classification_Key,Disaster_Group,Disaster_Subgroup,Disaster_Type,Disaster_Subtype,Event_Name,OFDA_BHA_Response,Appeal,Declaration,Origin,Associated_Types,Magnitude,Magnitude_Scale,Start_Date,End_Date,duration
2000-0021-USA,5cdf3bcf14b636dcea834bde8a1d89fa,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,,,Kph,2000-01-02,2000-01-04,2
2000-0067-USA,5370ecca580bd7737acae78e8d820169,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,,249.0,Kph,2000-02-13,2000-02-14,1
2000-0080-USA,aee9ba2fd62e6a9ad6c976d5503c5011,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,No,No,No,Heavy rain,"Slide (land, mud, snow, rock)",55000.0,Km2,2000-02-18,2000-02-22,4
2000-0128-USA,141de4c78e696b24e06af81baf193ea5,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,No,No,No,,,113.0,Km2,2000-02-26,2000-02-26,0
2000-0175-USA,28e519b25fa779a2c599392458dfb094,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,,,Kph,2000-03-28,2000-03-28,0
2000-0232-USA,37a607d222456968f0bf6d2a3bb2b47c,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,No,No,No,Brief torrential rain,,,Km2,2000-05-06,2000-05-09,3
2000-0271-USA,56664d2838451fe35810469aa14359a7,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,No,No,No,Brief torrential rain,,,Km2,2000-05-06,2000-05-09,3
2000-0279-USA,a40eb3c39cb1593c5b80913b5dab151e,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,No,No,No,,,16.0,Km2,2000-05-14,2000-05-14,0
2000-0296-USA,9ee6b3ab4918c1cde53a407907a96345,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,No,,,,Km2,2000-05-19,2000-05-19,0
2000-0297-USA,a0c0197b167e4b78744a4acea0da2e7c,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,No,,,,Km2,2000-05-23,2000-05-23,0
2000-0338-USA,842b74e4c99dae679b2be0190143e5f8,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,,,Kph,2000-05-26,2000-05-26,0
2000-0360-USA,f0b66b60095d2de3ff2e42767f770397,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,,,Kph,2000-05-23,2000-05-23,0
2000-0363-USA,4457e9cebfe65c450ebb1bdc823ddf23,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,No,No,No,,,85.0,Km2,2000-06-12,2000-06-12,0
2000-0406-USA,ba414776194a5594cbfe0dfc31a24d19,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,No,No,No,,,607.0,Km2,2000-06-27,2000-06-27,0
2000-0420-CAN,eb29f08135112418d0175280ae1e9cb2,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,,300.0,Kph,2000-07-14,2000-07-14,0
2000-0463-USA,a6f69db763c0932834083f5b96a6c30a,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,,,Kph,2000-07-25,2000-07-25,0
